unit_id,region,capacity_index,baseline_gross_margin,baseline_stockout_rate,treatment,post_gross_margin,post_stockout_rate
DC-0001,east,101.391691,14747.609581,0.06171722,1,15640.059338,0.02765549
DC-0002,east,100.585288,10197.377077,0.05632729,0,11103.336187,0.05394705
DC-0003,west,114.410945,14506.649594,0.05581951,1,14667.931191,0.03922418
DC-0004,east,106.617847,15197.254728,0.06420454,1,15009.902741,0.05225708
DC-0005,south,84.750816,11769.096212,0.07304826,0,12058.964734,0.05926035
DC-0006,south,89.906345,11501.49509,0.07568055,0,12130.501561,0.0700826
DC-0007,east,116.950377,13880.317034,0.05335634,0,11835.489504,0.04552721
DC-0008,west,108.268254,14424.769396,0.08821374,0,13968.559752,0.08279731
DC-0009,south,85.592637,13095.204637,0.07429525,1,13992.201169,0.04817788
DC-0010,south,118.8776,12969.992376,0.0762816,1,14289.900058,0.06452129
DC-0011,east,77.641234,12408.411792,0.08234122,0,12433.345829,0.08222667
DC-0012,east,95.854946,13488.562768,0.07050544,1,12999.744439,0.0468017
DC-0013,south,76.452828,10464.648007,0.09382021,0,10831.089754,0.07188723
DC-0014,south,93.734886,11765.314415,0.07323187,0,10293.96807,0.07404716
DC-0015,east,108.58116,13279.788444,0.07177547,0,15249.295633,0.0601627
DC-0016,south,117.171235,14369.129282,0.09974357,1,15374.181944,0.04932968
DC-0017,south,95.119927,12219.044535,0.0804994,0,11925.381068,0.05745736
DC-0018,west,111.045221,13722.155938,0.09839659,1,13881.259739,0.0598409
DC-0019,west,93.620254,13424.285609,0.09398029,0,11373.671936,0.05616525
DC-0020,north,59.683384,10546.436623,0.09403452,0,11241.849506,0.07206253
DC-0021,east,103.608564,13212.712505,0.08817654,0,14640.144857,0.1000672
DC-0022,south,110.080557,14091.164102,0.0899227,1,13807.353222,0.05683602
DC-0023,west,86.428394,12019.21233,0.09113405,1,13236.112934,0.05966531
DC-0024,west,90.868572,12340.410408,0.07064632,1,13262.346173,0.05095895
DC-0025,south,127.060931,15306.160701,0.07860424,0,15474.761596,0.06944331
DC-0026,west,92.838565,12646.478484,0.08943167,0,14475.514856,0.07240326
DC-0027,north,123.95504,11651.428338,0.08137757,1,13485.407017,0.05264889
DC-0028,east,81.314731,11131.386824,0.10342849,0,11510.203525,0.09584373
